Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
63,55,6,6,57,50,13,train/11401.png
40,39,6,5,35,34,9,train/00009_00025_00014.png
39,40,5,5,34,35,38,train/00038_00037_00005.png
50,52,5,6,45,47,1,train/00001_00019_00024.png
36,38,5,6,30,32,35,train/00035_00027_00011.png
28,33,5,6,23,28,34,train/00034_00006_00010.png
43,57,6,6,38,52,1,train/00001_00030_00016.png
59,62,6,6,54,57,12,train/00012_00063_00024.png
29,28,6,5,24,23,7,train/00007_00000_00005.png
44,44,5,5,39,39,8,train/00008_00011_00018.png
34,34,5,5,29,29,14,train/02291.png
94,99,8,8,85,91,34,train/00034_00003_00023.png
54,56,6,6,48,50,3,train/00003_00026_00026.png
35,35,6,6,30,30,3,train/00003_00014_00016.png
60,60,5,6,55,55,4,train/00004_00027_00028.png
43,40,5,5,38,35,26,train/12301.png
33,36,5,6,28,30,2,train/00002_00013_00012.png
54,55,6,5,49,50,41,train/00041_00002_00019.png
41,42,5,6,36,37,10,train/00010_00055_00018.png
69,69,7,7,63,63,40,train/00040_00005_00013.png
34,34,6,6,28,28,3,train/00003_00015_00009.png
32,32,5,6,26,27,18,train/08849.png
57,58,5,6,52,53,10,train/00010_00010_00027.png
36,34,5,5,31,29,8,train/00008_00015_00012.png
34,33,5,6,29,28,26,train/06456.png
57,53,6,5,52,48,13,train/00013_00048_00009.png
30,31,5,6,25,26,12,train/00012_00050_00000.png
39,41,5,5,34,35,10,train/08229.png
32,34,5,6,27,29,13,train/00013_00005_00009.png
50,48,5,5,45,43,1,train/00001_00011_00020.png
73,71,7,6,67,65,2,train/00002_00016_00024.png
76,68,7,7,70,62,13,train/00013_00006_00027.png
94,94,8,8,86,85,12,train/00012_00054_00028.png
38,38,6,6,33,33,1,train/00001_00072_00004.png
56,57,6,6,50,51,1,train/00001_00026_00006.png
35,38,5,6,30,33,38,train/00038_00027_00026.png
57,57,6,6,52,52,4,train/07224.png
87,89,7,8,80,81,3,train/00003_00041_00019.png
72,72,7,7,66,66,13,train/08959.png
77,81,7,7,71,74,12,train/00012_00069_00023.png
32,29,6,6,27,24,22,train/00022_00004_00006.png
47,47,6,6,42,42,3,train/00003_00012_00020.png
39,39,6,5,34,34,10,train/09101.png
30,29,6,5,25,24,2,train/00002_00044_00001.png
28,30,5,6,23,25,5,train/04935.png
214,191,18,17,196,175,27,train/03250.png
44,40,6,6,39,35,18,train/01030.png
58,57,6,5,53,52,12,train/00012_00034_00006.png
127,113,11,10,116,104,21,train/00021_00007_00028.png
54,57,6,5,49,52,4,train/00004_00050_00025.png
31,30,6,5,26,25,4,train/00004_00040_00007.png
61,58,6,6,56,53,24,train/00024_00002_00013.png
51,52,5,5,46,47,35,train/00035_00016_00014.png
33,33,5,5,28,28,10,train/00010_00026_00013.png
59,110,5,9,54,100,17,train/06355.png
48,44,5,6,43,39,24,train/00024_00007_00010.png
49,49,6,6,44,44,3,train/00003_00004_00021.png
111,111,10,10,102,102,1,train/00001_00049_00029.png
31,32,6,6,26,27,9,train/00009_00012_00004.png
97,108,9,10,89,99,38,train/02692.png
45,41,5,5,40,35,20,train/00020_00010_00016.png
27,27,5,6,22,22,21,train/10425.png
44,43,6,5,39,38,9,train/11582.png
105,93,10,8,96,85,10,train/00010_00034_00029.png
52,55,6,5,47,50,17,train/00017_00030_00015.png
34,35,6,6,29,30,10,train/00010_00023_00001.png
94,94,8,8,86,86,16,train/00016_00004_00028.png
45,45,6,6,40,40,9,train/00009_00036_00012.png
44,42,5,6,38,36,26,train/00026_00006_00015.png
35,39,5,5,29,33,2,train/00002_00066_00004.png
47,41,6,5,41,36,18,train/07178.png
87,85,8,8,80,78,9,train/00009_00026_00021.png
47,43,5,5,42,38,28,train/00028_00003_00014.png
60,57,6,6,55,52,5,train/00005_00028_00027.png
27,26,5,5,22,21,2,train/00002_00010_00002.png
42,40,5,6,36,34,25,train/00025_00009_00017.png
41,40,6,5,36,35,8,train/00008_00023_00015.png
29,27,6,5,24,22,13,train/00013_00058_00003.png
83,86,8,7,76,79,8,train/07659.png
104,114,9,10,94,104,36,train/00036_00003_00029.png
